"TAXA"	"PROJECT"	"ABUNDANCE"
"Geodermatophilaceae"	"SRR062284"	0
"Leptotrichiaceae"	"SRR062284"	0
"Campylobacteraceae"	"SRR062284"	0.1
"Neisseriaceae"	"SRR062284"	0.06
"Porphyromonadaceae"	"SRR062284"	0
"Corynebacteriaceae"	"SRR062284"	5.28
"Fusobacteriaceae"	"SRR062284"	0
"Ruminococcaceae"	"SRR062284"	0
"Lachnospiraceae"	"SRR062284"	0
"Flavobacteriaceae"	"SRR062284"	0
"Actinomycetaceae"	"SRR062284"	0
"Pasteurellaceae"	"SRR062284"	0.33
"Micrococcaceae"	"SRR062284"	0.1
"Veillonellaceae"	"SRR062284"	0
"Streptococcaceae"	"SRR062284"	0
"Carnobacteriaceae"	"SRR062284"	38.78
"Propionibacteriaceae"	"SRR062284"	0.2
"Moraxellaceae"	"SRR062284"	51.91
"Prevotellaceae"	"SRR062284"	1.72
"Acetobacteraceae"	"SRR062419"	0
"Cellulomonadaceae"	"SRR062419"	0
"Mycoplasmataceae"	"SRR062419"	0
"Clostridiaceae"	"SRR062419"	0.02
"Dermacoccaceae"	"SRR062419"	0.01
"Eubacteriaceae"	"SRR062419"	0.01
"Bacteroidaceae"	"SRR062419"	0.01
"Bifidobacteriaceae"	"SRR062419"	0.04
"Cardiobacteriaceae"	"SRR062419"	0.01
"Erythrobacteraceae"	"SRR062419"	0
"Chromatiaceae"	"SRR062419"	0
"Hydrogenophilaceae"	"SRR062419"	0
"Spirochaetaceae"	"SRR062419"	0.02
"Promicromonosporaceae"	"SRR062419"	0.03
"Akkermansiaceae"	"SRR062419"	0
"Bradyrhizobiaceae"	"SRR062419"	0
"Cytophagaceae"	"SRR062419"	0
"Methylobacteriaceae"	"SRR062419"	0
"Planococcaceae"	"SRR062419"	0
"Rikenellaceae"	"SRR062419"	0
"Intrasporangiaceae"	"SRR062419"	0
"Alcaligenaceae"	"SRR062419"	0
"Enterobacteriaceae"	"SRR062419"	0
"Sphingomonadaceae"	"SRR062419"	0
"Peptostreptococcaceae"	"SRR062419"	0.27
"Mycobacteriaceae"	"SRR062419"	0
"Sanguibacteraceae"	"SRR062419"	0.33
"Bacillaceae"	"SRR062419"	0
"Atopobiaceae"	"SRR062419"	0.38
"Comamonadaceae"	"SRR062419"	0
"Vibrionaceae"	"SRR062419"	0
"Selenomonadaceae"	"SRR062419"	1.02
"Pseudomonadaceae"	"SRR062419"	0
"Peptoniphilaceae"	"SRR062419"	0.05
"Burkholderiaceae"	"SRR062419"	0.03
"Xanthomonadaceae"	"SRR062419"	0
"Aerococcaceae"	"SRR062419"	0.01
"Staphylococcaceae"	"SRR062419"	0.03
"Lactobacillaceae"	"SRR062419"	0.01
"Erysipelotrichaceae"	"SRR062419"	1.93
"Clostridiales Family XIII. Incertae Sedis"	"SRR062419"	3.22
"Geodermatophilaceae"	"SRR062419"	0
"Leptotrichiaceae"	"SRR062419"	2.68
"Campylobacteraceae"	"SRR062419"	3.41
"Neisseriaceae"	"SRR062419"	0.76
"Porphyromonadaceae"	"SRR062419"	0.7
"Corynebacteriaceae"	"SRR062419"	0.07
"Fusobacteriaceae"	"SRR062419"	2.46
"Ruminococcaceae"	"SRR062419"	0.01
"Lachnospiraceae"	"SRR062419"	4.88
"Flavobacteriaceae"	"SRR062419"	0.56
"Actinomycetaceae"	"SRR062419"	7.71
"Pasteurellaceae"	"SRR062419"	0.91
"Micrococcaceae"	"SRR062419"	5.9
"Veillonellaceae"	"SRR062419"	14.66
"Streptococcaceae"	"SRR062419"	2.92
"Carnobacteriaceae"	"SRR062419"	0.17
"Propionibacteriaceae"	"SRR062419"	0.01
"Moraxellaceae"	"SRR062419"	0
"Prevotellaceae"	"SRR062419"	44.72
"Acetobacteraceae"	"SRR353621"	0
"Cellulomonadaceae"	"SRR353621"	0
"Mycoplasmataceae"	"SRR353621"	0
"Clostridiaceae"	"SRR353621"	0
"Dermacoccaceae"	"SRR353621"	0
"Eubacteriaceae"	"SRR353621"	0
"Bacteroidaceae"	"SRR353621"	0
"Bifidobacteriaceae"	"SRR353621"	0
"Cardiobacteriaceae"	"SRR353621"	0
"Erythrobacteraceae"	"SRR353621"	0
"Chromatiaceae"	"SRR353621"	0.14
"Hydrogenophilaceae"	"SRR353621"	0.14
"Spirochaetaceae"	"SRR353621"	0
"Promicromonosporaceae"	"SRR353621"	0
"Akkermansiaceae"	"SRR353621"	0.19
"Bradyrhizobiaceae"	"SRR353621"	0.19
"Cytophagaceae"	"SRR353621"	0.19
"Methylobacteriaceae"	"SRR353621"	0.19
"Planococcaceae"	"SRR353621"	0.19
"Rikenellaceae"	"SRR353621"	0.19
"Intrasporangiaceae"	"SRR353621"	0.24
"Alcaligenaceae"	"SRR353621"	0.28
"Enterobacteriaceae"	"SRR353621"	0.14
"Sphingomonadaceae"	"SRR353621"	0.33
"Peptostreptococcaceae"	"SRR353621"	0
"Mycobacteriaceae"	"SRR353621"	0.52
"Sanguibacteraceae"	"SRR353621"	0
"Bacillaceae"	"SRR353621"	0.66
"Atopobiaceae"	"SRR353621"	0
"Comamonadaceae"	"SRR353621"	0.71
"Vibrionaceae"	"SRR353621"	0.95
"Selenomonadaceae"	"SRR353621"	0
"Pseudomonadaceae"	"SRR353621"	1.18
"Peptoniphilaceae"	"SRR353621"	0
"Burkholderiaceae"	"SRR353621"	0.71
"Xanthomonadaceae"	"SRR353621"	1.75
"Aerococcaceae"	"SRR353621"	0.19
"Staphylococcaceae"	"SRR353621"	1.94
"Lactobacillaceae"	"SRR353621"	3.12
"Erysipelotrichaceae"	"SRR353621"	0
"Clostridiales Family XIII. Incertae Sedis"	"SRR353621"	0
"Geodermatophilaceae"	"SRR353621"	3.98
"Leptotrichiaceae"	"SRR353621"	0.28
"Campylobacteraceae"	"SRR353621"	0.19
"Neisseriaceae"	"SRR353621"	0.24
"Porphyromonadaceae"	"SRR353621"	0.24
"Corynebacteriaceae"	"SRR353621"	4.21
"Fusobacteriaceae"	"SRR353621"	0
"Ruminococcaceae"	"SRR353621"	10.18
"Lachnospiraceae"	"SRR353621"	0.57
"Flavobacteriaceae"	"SRR353621"	0.38
"Actinomycetaceae"	"SRR353621"	3.83
"Pasteurellaceae"	"SRR353621"	0.38
"Micrococcaceae"	"SRR353621"	1.89
"Veillonellaceae"	"SRR353621"	0.62
"Streptococcaceae"	"SRR353621"	10.98
"Carnobacteriaceae"	"SRR353621"	0.14
"Propionibacteriaceae"	"SRR353621"	42.59
"Moraxellaceae"	"SRR353621"	4.92
"Prevotellaceae"	"SRR353621"	0.24
